song/album,artist,price,time
"thank u, next",Arians Grande,19,0:03:27
Baby Don't Stop,NCT U,19,0:03:03
Boss,NCT U,19,0:03:30
The 7th Sense,NCT U,19,0:03:34
Dream In A Dream,NCT U,19,0:03:35
New Heroes,TEN,29,0:02:44
The Vision,WayV,29,0:11:00
NCT #127 Regular-Irregular,NCT 127,119,0:40:00
Simon Says,NCT 127,19,0:03:20
Malibu Nights,LANY,19,0:04:47
SQUARE UP,BLACKPINK,149,0:14:00
Baby Don't Stop,NCT U,29,0:03:30
Dancing with a Stranger ,Sam Smith & Normani,19,0:02:51
Yo-Yo Ma Plays Ennio Morricone,"Yo-Yo Ma, 
Ennio Morricone & 
Roma Sinfonietta",149,0:55:00
